box: ucitron vs. ucitron, winner: ucitron
box: ucitron vs. ucijeff, winner: ucijeff
box: ucitron vs. a1k0n, winner: a1k0n
box: ucitron vs. nathan, winner: ucitron
box: ucitron vs. ucitimed, winner: ucitimed
box: ucijeff vs. ucitron, winner: ucijeff
box: ucijeff vs. ucijeff, winner: ucijeff
box: ucijeff vs. a1k0n, winner: a1k0n
box: ucijeff vs. nathan, winner: ucijeff
box: ucijeff vs. ucitimed, winner: ucitimed
box: a1k0n vs. ucitron, winner: a1k0n
box: a1k0n vs. ucijeff, winner: ucijeff
box: a1k0n vs. a1k0n, winner: a1k0n
box: a1k0n vs. nathan, winner: a1k0n
box: a1k0n vs. ucitimed, winner: a1k0n
box: nathan vs. ucitron, winner: ucitron
box: nathan vs. ucijeff, winner: ucijeff
box: nathan vs. a1k0n, winner: a1k0n
box: nathan vs. nathan, winner: nathan
box: nathan vs. ucitimed, winner: ucitimed
box: ucitimed vs. ucitron, winner: ucitimed
box: ucitimed vs. ucijeff, winner: ucitimed
box: ucitimed vs. a1k0n, winner: ucitimed
box: ucitimed vs. nathan, winner: ucitimed
box: ucitimed vs. ucitimed, winner: ucitimed
