gate: ucitron vs. ucitron, winner: ucitron
gate: ucitron vs. ucijeff, winner: ucijeff
gate: ucitron vs. a1k0n, winner: a1k0n
gate: ucitron vs. nathan, winner: ucitron
gate: ucitron vs. ucitimed, winner: ucitimed
gate: ucijeff vs. ucitron, winner: ucijeff
gate: ucijeff vs. ucijeff, winner: ucijeff
gate: ucijeff vs. a1k0n, winner: a1k0n
gate: ucijeff vs. nathan, winner: ucijeff
gate: ucijeff vs. ucitimed, winner: ucijeff
gate: a1k0n vs. ucitron, winner: a1k0n
gate: a1k0n vs. ucijeff, winner: a1k0n
gate: a1k0n vs. a1k0n, winner: null
gate: a1k0n vs. nathan, winner: a1k0n
gate: a1k0n vs. ucitimed, winner: null
gate: nathan vs. ucitron, winner: ucitron
gate: nathan vs. ucijeff, winner: ucijeff
gate: nathan vs. a1k0n, winner: a1k0n
gate: nathan vs. nathan, winner: nathan
gate: nathan vs. ucitimed, winner: ucitimed
gate: ucitimed vs. ucitron, winner: ucitimed
gate: ucitimed vs. ucijeff, winner: ucitimed
gate: ucitimed vs. a1k0n, winner: a1k0n
gate: ucitimed vs. nathan, winner: ucitimed
gate: ucitimed vs. ucitimed, winner: ucitimed
