joust: ucitron vs. ucitron, winner: ucitron
joust: ucitron vs. ucijeff, winner: ucijeff
joust: ucitron vs. a1k0n, winner: a1k0n
joust: ucitron vs. nathan, winner: ucitron
joust: ucitron vs. ucitimed, winner: ucitimed
joust: ucijeff vs. ucitron, winner: ucijeff
joust: ucijeff vs. ucijeff, winner: ucijeff
joust: ucijeff vs. a1k0n, winner: ucijeff
joust: ucijeff vs. nathan, winner: ucijeff
joust: ucijeff vs. ucitimed, winner: ucijeff
joust: a1k0n vs. ucitron, winner: a1k0n
joust: a1k0n vs. ucijeff, winner: a1k0n
joust: a1k0n vs. a1k0n, winner: a1k0n
joust: a1k0n vs. nathan, winner: a1k0n
joust: a1k0n vs. ucitimed, winner: a1k0n
joust: nathan vs. ucitron, winner: ucitron
joust: nathan vs. ucijeff, winner: ucijeff
joust: nathan vs. a1k0n, winner: a1k0n
joust: nathan vs. nathan, winner: nathan
joust: nathan vs. ucitimed, winner: ucitimed
joust: ucitimed vs. ucitron, winner: ucitimed
joust: ucitimed vs. ucijeff, winner: ucitimed
joust: ucitimed vs. a1k0n, winner: ucitimed
joust: ucitimed vs. nathan, winner: ucitimed
joust: ucitimed vs. ucitimed, winner: ucitimed
