oval: ucitron vs. ucitron, winner: ucitron
oval: ucitron vs. ucijeff, winner: ucitron
oval: ucitron vs. a1k0n, winner: a1k0n
oval: ucitron vs. nathan, winner: ucitron
oval: ucitron vs. ucitimed, winner: ucitron
oval: ucijeff vs. ucitron, winner: null
oval: ucijeff vs. ucijeff, winner: ucijeff
oval: ucijeff vs. a1k0n, winner: a1k0n
oval: ucijeff vs. nathan, winner: ucijeff
oval: ucijeff vs. ucitimed, winner: ucitimed
oval: a1k0n vs. ucitron, winner: a1k0n
oval: a1k0n vs. ucijeff, winner: a1k0n
oval: a1k0n vs. a1k0n, winner: a1k0n
oval: a1k0n vs. nathan, winner: a1k0n
oval: a1k0n vs. ucitimed, winner: a1k0n
oval: nathan vs. ucitron, winner: ucitron
oval: nathan vs. ucijeff, winner: ucijeff
oval: nathan vs. a1k0n, winner: a1k0n
oval: nathan vs. nathan, winner: nathan
oval: nathan vs. ucitimed, winner: ucitimed
oval: ucitimed vs. ucitron, winner: ucitimed
oval: ucitimed vs. ucijeff, winner: ucijeff
oval: ucitimed vs. a1k0n, winner: a1k0n
oval: ucitimed vs. nathan, winner: ucitimed
oval: ucitimed vs. ucitimed, winner: ucitimed
