plus: ucitron vs. ucitron, winner: null
plus: ucitron vs. ucijeff, winner: null
plus: ucitron vs. a1k0n, winner: a1k0n
plus: ucitron vs. nathan, winner: ucitron
plus: ucitron vs. ucitimed, winner: null
plus: ucijeff vs. ucitron, winner: null
plus: ucijeff vs. ucijeff, winner: ucijeff
plus: ucijeff vs. a1k0n, winner: ucijeff
plus: ucijeff vs. nathan, winner: ucijeff
plus: ucijeff vs. ucitimed, winner: ucijeff
plus: a1k0n vs. ucitron, winner: a1k0n
plus: a1k0n vs. ucijeff, winner: null
plus: a1k0n vs. a1k0n, winner: a1k0n
plus: a1k0n vs. nathan, winner: a1k0n
plus: a1k0n vs. ucitimed, winner: a1k0n
plus: nathan vs. ucitron, winner: null
plus: nathan vs. ucijeff, winner: ucijeff
plus: nathan vs. a1k0n, winner: null
plus: nathan vs. nathan, winner: nathan
plus: nathan vs. ucitimed, winner: ucitimed
plus: ucitimed vs. ucitron, winner: ucitimed
plus: ucitimed vs. ucijeff, winner: ucitimed
plus: ucitimed vs. a1k0n, winner: null
plus: ucitimed vs. nathan, winner: ucitimed
plus: ucitimed vs. ucitimed, winner: ucitimed
