ring: ucitron vs. ucitron, winner: ucitron
ring: ucitron vs. ucijeff, winner: ucitron
ring: ucitron vs. a1k0n, winner: ucitron
ring: ucitron vs. nathan, winner: ucitron
ring: ucitron vs. ucitimed, winner: ucitron
ring: ucijeff vs. ucitron, winner: ucijeff
ring: ucijeff vs. ucijeff, winner: ucijeff
ring: ucijeff vs. a1k0n, winner: ucijeff
ring: ucijeff vs. nathan, winner: ucijeff
ring: ucijeff vs. ucitimed, winner: ucijeff
ring: a1k0n vs. ucitron, winner: a1k0n
ring: a1k0n vs. ucijeff, winner: a1k0n
ring: a1k0n vs. a1k0n, winner: a1k0n
ring: a1k0n vs. nathan, winner: a1k0n
ring: a1k0n vs. ucitimed, winner: a1k0n
ring: nathan vs. ucitron, winner: ucitron
ring: nathan vs. ucijeff, winner: ucijeff
ring: nathan vs. a1k0n, winner: a1k0n
ring: nathan vs. nathan, winner: nathan
ring: nathan vs. ucitimed, winner: ucitimed
ring: ucitimed vs. ucitron, winner: ucitimed
ring: ucitimed vs. ucijeff, winner: ucitimed
ring: ucitimed vs. a1k0n, winner: ucitimed
ring: ucitimed vs. nathan, winner: ucitimed
ring: ucitimed vs. ucitimed, winner: ucitimed
