trix: ucitron vs. ucitron, winner: ucitron
trix: ucitron vs. ucijeff, winner: ucijeff
trix: ucitron vs. a1k0n, winner: a1k0n
trix: ucitron vs. nathan, winner: ucitron
trix: ucitron vs. ucitimed, winner: ucitimed
trix: ucijeff vs. ucitron, winner: ucijeff
trix: ucijeff vs. ucijeff, winner: ucijeff
trix: ucijeff vs. a1k0n, winner: ucijeff
trix: ucijeff vs. nathan, winner: ucijeff
trix: ucijeff vs. ucitimed, winner: null
trix: a1k0n vs. ucitron, winner: a1k0n
trix: a1k0n vs. ucijeff, winner: null
trix: a1k0n vs. a1k0n, winner: null
trix: a1k0n vs. nathan, winner: a1k0n
trix: a1k0n vs. ucitimed, winner: a1k0n
trix: nathan vs. ucitron, winner: ucitron
trix: nathan vs. ucijeff, winner: ucijeff
trix: nathan vs. a1k0n, winner: a1k0n
trix: nathan vs. nathan, winner: nathan
trix: nathan vs. ucitimed, winner: ucitimed
trix: ucitimed vs. ucitron, winner: ucitimed
trix: ucitimed vs. ucijeff, winner: ucitimed
trix: ucitimed vs. a1k0n, winner: a1k0n
trix: ucitimed vs. nathan, winner: ucitimed
trix: ucitimed vs. ucitimed, winner: ucitimed
