u: ucitron vs. ucitron, winner: ucitron
u: ucitron vs. ucijeff, winner: null
u: ucitron vs. a1k0n, winner: null
u: ucitron vs. nathan, winner: ucitron
u: ucitron vs. ucitimed, winner: null
u: ucijeff vs. ucitron, winner: ucijeff
u: ucijeff vs. ucijeff, winner: ucijeff
u: ucijeff vs. a1k0n, winner: ucijeff
u: ucijeff vs. nathan, winner: ucijeff
u: ucijeff vs. ucitimed, winner: ucijeff
u: a1k0n vs. ucitron, winner: null
u: a1k0n vs. ucijeff, winner: null
u: a1k0n vs. a1k0n, winner: null
u: a1k0n vs. nathan, winner: null
u: a1k0n vs. ucitimed, winner: null
u: nathan vs. ucitron, winner: ucitron
u: nathan vs. ucijeff, winner: ucijeff
u: nathan vs. a1k0n, winner: null
u: nathan vs. nathan, winner: null
u: nathan vs. ucitimed, winner: ucitimed
u: ucitimed vs. ucitron, winner: ucitimed
u: ucitimed vs. ucijeff, winner: ucitimed
u: ucitimed vs. a1k0n, winner: ucitimed
u: ucitimed vs. nathan, winner: ucitimed
u: ucitimed vs. ucitimed, winner: ucitimed
