vee: ucitron vs. ucitron, winner: ucitron
vee: ucitron vs. ucijeff, winner: ucijeff
vee: ucitron vs. a1k0n, winner: ucitron
vee: ucitron vs. nathan, winner: ucitron
vee: ucitron vs. ucitimed, winner: ucitron
vee: ucijeff vs. ucitron, winner: ucijeff
vee: ucijeff vs. ucijeff, winner: null
vee: ucijeff vs. a1k0n, winner: null
vee: ucijeff vs. nathan, winner: ucijeff
vee: ucijeff vs. ucitimed, winner: ucijeff
vee: a1k0n vs. ucitron, winner: a1k0n
vee: a1k0n vs. ucijeff, winner: null
vee: a1k0n vs. a1k0n, winner: a1k0n
vee: a1k0n vs. nathan, winner: a1k0n
vee: a1k0n vs. ucitimed, winner: a1k0n
vee: nathan vs. ucitron, winner: ucitron
vee: nathan vs. ucijeff, winner: ucijeff
vee: nathan vs. a1k0n, winner: a1k0n
vee: nathan vs. nathan, winner: nathan
vee: nathan vs. ucitimed, winner: ucitimed
vee: ucitimed vs. ucitron, winner: ucitimed
vee: ucitimed vs. ucijeff, winner: null
vee: ucitimed vs. a1k0n, winner: ucitimed
vee: ucitimed vs. nathan, winner: ucitimed
vee: ucitimed vs. ucitimed, winner: ucitimed
